course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CS 110,110,"Thuzar, Aye",160,26,37,12,11,22,5,9,13,5,0,4,1,15,75,38,27,5,15,2.951
CS 110,110,"Wilkins, David A",613,116,215,112,49,48,28,10,7,9,2,2,2,13,443,125,26,6,13,3.553
CS 111,111,"Colbert, Phillip Dean",649,69,180,139,61,43,48,19,26,15,4,9,6,30,388,152,60,19,30,3.251
CS 111,111,"Flores, Juan Jose",239,23,28,24,18,35,19,24,23,11,4,9,2,19,75,72,58,15,19,2.695
CS 111,111,"Hennessy, Michael Shane",127,14,32,9,5,25,3,3,18,7,0,2,1,8,55,33,28,3,8,2.948
CS 111,111,"Stewart, Lindy M",209,47,96,0,6,32,0,2,11,0,1,2,0,12,143,38,13,3,12,3.434
CS 111,111,"Thuzar, Aye",234,8,75,21,24,38,13,13,16,6,2,4,0,14,104,75,35,6,14,3.063
CS 122,122,"Colbert, Phillip Dean",375,78,127,60,35,22,15,6,10,8,1,1,0,12,265,72,24,2,12,3.503
CS 122,122,"Freeman Hennessy, Kathleen",456,17,93,34,25,86,36,24,56,18,12,16,7,32,144,147,98,35,32,2.714
CS 122,122,"Schwartz, Samuel David",31,7,7,8,1,1,3,2,0,0,0,0,0,2,22,5,2,0,2,3.374
CS 122,122,"Stewart, Lindy M",91,32,36,0,0,10,0,0,5,0,0,1,0,7,68,10,5,1,7,3.44
CS 122,122,"Thuzar, Aye",231,6,49,21,30,46,9,9,25,4,5,10,4,13,76,85,38,19,13,2.839
CS 210,210,"Erickson, Brittany Angela",63,0,12,6,10,6,4,6,2,4,2,1,1,9,18,20,12,4,9,2.554
CS 210,210,"Flores, Juan Jose",422,60,60,48,58,64,42,37,17,6,6,5,4,15,168,164,60,15,15,3.079
CS 210,210,"Young, Michal Terry",454,22,105,16,30,60,66,27,49,55,0,13,0,11,143,156,131,13,11,2.844
CS 211,211,"Flores, Juan Jose",355,11,42,45,46,70,45,31,22,11,5,7,2,18,98,161,64,14,18,2.847
CS 211,211,"Young, Michal Terry",366,21,119,20,30,43,55,0,35,20,0,16,0,7,160,128,55,16,7,3.089
CS 212,212,"Chen, Jieyang",77,5,13,15,11,19,6,1,4,0,0,1,1,1,33,36,5,2,1,3.234
CS 212,212,"Childs, Henry Roberts",361,15,90,31,54,46,41,21,12,19,10,3,3,16,136,141,52,16,16,3.004
CS 212,212,"Colbert, Phillip Dean",245,33,50,24,17,22,31,10,17,17,2,5,3,14,107,70,44,10,14,2.948
CS 313,313,"Lowd, Daniel Baruch",236,8,25,34,29,42,30,22,22,12,1,0,0,11,67,101,56,1,11,2.868
CS 313,313,"Nguyen, Thien Huu",184,22,48,44,24,20,18,3,2,1,1,0,0,1,114,62,6,1,1,3.503
CS 314,314,"Wills, Eric David",484,44,175,88,68,54,14,9,12,6,0,3,1,10,307,136,27,4,10,3.48
CS 315,315,"Jiao, Lei",240,15,21,32,27,38,36,29,17,11,6,2,2,4,68,101,57,10,4,2.889
CS 315,315,"Nguyen, Thanh Hong",67,0,5,10,10,8,11,7,5,5,1,0,2,3,15,29,17,3,3,2.701
CS 315,315,"Wilson, Christopher",61,2,20,5,7,13,10,0,3,0,0,1,0,0,27,30,3,1,0,3.321
CS 322,322,"Durairajan, Ramakrishnan",44,0,5,2,8,4,10,7,3,2,1,1,1,0,7,22,12,3,0,2.757
CS 322,322,"Hassani, Ali",30,6,7,3,4,2,2,0,2,1,1,0,1,1,16,8,3,2,1,3.18
CS 322,322,"Norris, Boyana Radenska",85,33,14,11,5,4,4,5,2,2,0,1,0,4,58,13,9,1,4,3.387
CS 322,322,"Shi, Honghui",32,8,10,3,5,2,2,1,0,0,0,0,0,1,21,9,1,0,1,3.541
CS 330,330,"Choi, Jee Whan",250,19,37,31,27,40,21,23,14,16,4,2,3,13,87,88,53,9,13,2.888
CS 330,330,"Dario, Anthony Richard",71,5,10,12,7,12,7,2,9,1,1,3,0,2,27,26,12,4,2,2.972
CS 330,330,"McLaughlin, Joseph Clevenger",83,14,12,13,16,8,12,4,3,1,0,0,0,0,39,36,8,0,0,3.352
CS 333,333,"Li, Yingjiu",143,5,24,40,18,18,19,10,3,2,1,0,0,3,69,55,15,1,3,3.234
CS 399,399,"Balmain, Nathaniel Ryan",28,21,5,1,0,0,0,0,0,0,0,1,0,0,27,0,0,1,0,3.882
CS 399,399,"Johnson, Annaliese Hope",10,3,3,1,0,0,0,1,0,0,0,0,0,2,7,0,1,0,2,3.0
CS 399,399,"Miller, Dennis R",33,12,8,2,7,0,3,0,0,1,0,0,0,0,22,10,1,0,0,3.645
CS 410,410,"Carrere, Daniel Austin",20,3,6,3,7,0,0,0,0,0,0,0,0,1,12,7,0,0,1,3.51
CS 410,410,"Erickson, Brittany Angela",12,0,3,4,2,1,1,0,1,0,0,0,0,0,7,4,1,0,0,3.425
CS 410,410,"Hou, Tao",16,10,5,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,3.956
CS 410,410,"Nguyen, Thien Huu",11,1,0,2,2,3,0,0,1,1,0,0,1,0,3,5,2,1,0,2.855
CS 410,410,"Wills, Eric David",168,25,112,18,8,2,2,0,0,0,0,0,0,1,155,12,0,0,1,3.883
CS 413,413,"Wilson, Christopher",24,2,8,3,4,6,1,0,0,0,0,0,0,0,13,11,0,0,0,3.542
CS 415,415,"Malony, Allen",231,0,25,22,23,53,35,22,29,12,2,3,0,5,47,111,63,5,5,2.794
CS 415,415,"Sventek, Joseph Sherman",95,19,20,11,8,8,9,2,7,6,0,0,0,5,50,25,15,0,5,3.16
CS 420,420,"Wilson, Christopher",13,0,5,1,3,2,1,0,0,0,0,0,0,1,6,6,0,0,1,3.254
CS 422,422,"Flores, Juan Jose",119,2,24,22,25,18,10,6,8,2,0,0,0,2,48,53,16,0,2,3.211
CS 422,422,"Hornof, Anthony J",117,11,12,21,20,18,23,6,4,0,0,1,0,1,44,61,10,1,1,3.202
CS 422,422,"Norris, Boyana Radenska",36,13,9,6,2,4,1,0,0,0,0,0,0,1,28,7,0,0,1,3.653
CS 423,423,"Fickas, Stephen F",17,5,5,3,1,0,2,0,1,0,0,0,0,0,13,3,1,0,0,3.635
